num_threads;method;num_iterations;elapsed_time
10;static;100;0.34449999975549872033
10;dynamic;100;0.31669999998484854586
10;guided;100;0.31820000003790482879
11;static;100;0.23529999998572748154
11;dynamic;100;0.36020000015923869796
11;guided;100;0.35230000003139139153
12;static;100;0.42919999987134360708
12;dynamic;100;0.40319999970961362123
12;guided;100;0.38999999969746568240
13;static;100;0.50259999989066272974
13;dynamic;100;0.43929999992542434484
13;guided;100;0.42920000032609095797
14;static;100;0.50199999986944021657
14;dynamic;100;0.46290000000226427801
14;guided;100;0.45640000007551861927
15;static;100;0.53149999985180329531
15;dynamic;100;0.48890000016399426386
15;guided;100;0.49579999995330581442
16;static;100;0.57160000005751498975
16;dynamic;100;0.56100000028891372494
16;guided;100;0.52010000035807024688
1;single;10000;3.15509999973073718138
2;static;10000;1.96129999994809622876
2;dynamic;10000;1.63560000009965733625
2;guided;10000;1.66339999987030751072
3;static;10000;1.24959999993734527379
3;dynamic;10000;1.21390000003884779289
3;guided;10000;1.36849999989863135852
4;static;10000;1.18079999992914963514
4;dynamic;10000;1.08270000009724753909
4;guided;10000;1.10110000014174147509
5;static;10000;1.02199999992080847733
5;dynamic;10000;0.86660000033589312807
5;guided;10000;0.86889999965933384374
6;static;10000;0.79870000035953125916
6;dynamic;10000;0.73370000018257996999
6;guided;10000;0.74429999995118123479
7;static;10000;0.75619999961418216117
7;dynamic;10000;0.65889999996215919964
7;guided;10000;0.65610000001470325515
8;static;10000;0.65029999996113474481
8;dynamic;10000;0.54579999959969427437
8;guided;10000;0.54550000004383036867
9;static;10000;0.97609999966152827255
